id,title,rating,release_year,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,poster_url,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,genres,overview,trailer_url,youtube_search_url,embed_url_template
27205,Inception,8.364,1900,,,,,,,,,https://image.tmdb.org/t/p/w500/oYuLEt3zVCKq57qu2F8dT7NIa6f.jpg,,,,,,,Action| Science Fiction| Adventure,"Inception is a Action,  Science Fiction,  Adventure film. The story follows characters facing challenges and events that shape their journey.",https://www.youtube.com/results?search_query=Inception+official+trailer,https://www.youtube.com/results?search_query=Inception+official+trailer,https://www.youtube.com/embed/VIDEO_ID
157336,Interstellar,8.417,1900,,,,,,,,,https://image.tmdb.org/t/p/w500/gEU2QniE6E77NI6lCU6MxlNBvIx.jpg,,,,,,,Adventure| Drama| Science Fiction,"Interstellar is a Adventure,  Drama,  Science Fiction film. The story follows characters facing challenges and events that shape their journey.",https://www.youtube.com/results?search_query=Interstellar+official+trailer,https://www.youtube.com/results?search_query=Interstellar+official+trailer,https://www.youtube.com/embed/VIDEO_ID
155,The Dark Knight,8.512,1900,,,,,,,,,https://image.tmdb.org/t/p/w500/qJ2tW6WMUDux911r6m7haRef0WH.jpg,,,,,,,Drama| Action| Crime| Thriller,"The Dark Knight is a Drama,  Action,  Crime,  Thriller film. The story follows characters facing challenges and events that shape their journey.",https://www.youtube.com/results?search_query=The+Dark+Knight+official+trailer,https://www.youtube.com/results?search_query=The+Dark+Knight+official+trailer,https://www.youtube.com/embed/VIDEO_ID
19995,Avatar,7.573,1900,,,,,,,,,https://image.tmdb.org/t/p/w500/kyeqWdyUXW608qlYkRqosgbbJyK.jpg,,,,,,,Action| Adventure| Fantasy| Science Fiction,"Avatar is a Action,  Adventure,  Fantasy,  Science Fiction film. The story follows characters facing challenges and events that shape their journey.",https://www.youtube.com/results?search_query=Avatar+official+trailer,https://www.youtube.com/results?search_query=Avatar+official+trailer,https://www.youtube.com/embed/VIDEO_ID
24428,The Avengers,7.71,1900,,,,,,,,,https://image.tmdb.org/t/p/w500/RYMX2wcKCBAr24UyPD7xwmjaTn.jpg,,,,,,,Science Fiction| Action| Adventure,"The Avengers is a Science Fiction,  Action,  Adventure film. The story follows characters facing challenges and events that shape their journey.",https://www.youtube.com/results?search_query=The+Avengers+official+trailer,https://www.youtube.com/results?search_query=The+Avengers+official+trailer,https://www.youtube.com/embed/VIDEO_ID
293660,Deadpool,7.606,1900,,,,,,,,,https://image.tmdb.org/t/p/w500/zq8Cl3PNIDGU3iWNRoc5nEZ6pCe.jpg/zq8Cl3PNIDGU3iWNRoc5nEZ6pCe.jpg,,,,,,,Action| Adventure| Comedy,"Deadpool is a Action,  Adventure,  Comedy film. The story follows characters facing challenges and events that shape their journey.",https://www.youtube.com/results?search_query=Deadpool+official+trailer,https://www.youtube.com/results?search_query=Deadpool+official+trailer,https://www.youtube.com/embed/VIDEO_ID
299536,Avengers: Infinity War,8.255,1900,,,,,,,,,https://image.tmdb.org/t/p/w500/7WsyChQLEftFiDOVTGkv3hFpyyt.jpg,,,,,,,Adventure| Action| Science Fiction,"Avengers: Infinity War is a Adventure,  Action,  Science Fiction film. The story follows characters facing challenges and events that shape their journey.",https://www.youtube.com/results?search_query=Avengers%3A+Infinity+War+official+trailer,https://www.youtube.com/results?search_query=Avengers%3A+Infinity+War+official+trailer,https://www.youtube.com/embed/VIDEO_ID
550,Fight Club,8.438,1900,,,,,,,,,https://image.tmdb.org/t/p/w500/pB8BM7pdSp6B6Ih7QZ4DrQ3PmJK.jpg,,,,,,,Drama,Fight Club is a Drama film. The story follows characters facing challenges and events that shape their journey.,https://www.youtube.com/results?search_query=Fight+Club+official+trailer,https://www.youtube.com/results?search_query=Fight+Club+official+trailer,https://www.youtube.com/embed/VIDEO_ID
118340,Guardians of the Galaxy,7.906,1900,,,,,,,,,https://image.tmdb.org/t/p/w500/r7vmZjiyZw9rpJMQJdXpjgiCOk9.jpg,,,,,,,Action| Science Fiction| Adventure,"Guardians of the Galaxy is a Action,  Science Fiction,  Adventure film. The story follows characters facing challenges and events that shape their journey.",https://www.youtube.com/results?search_query=Guardians+of+the+Galaxy+official+trailer,https://www.youtube.com/results?search_query=Guardians+of+the+Galaxy+official+trailer,https://www.youtube.com/embed/VIDEO_ID
680,Pulp Fiction,8.488,1900,,,,,,,,,https://image.tmdb.org/t/p/w500/d5iIlFn5s0ImszYzBPb8JPIfbXD.jpg,,,,,,,Thriller| Crime,"Pulp Fiction is a Thriller,  Crime film. The story follows characters facing challenges and events that shape their journey.",https://www.youtube.com/results?search_query=Pulp+Fiction+official+trailer,https://www.youtube.com/results?search_query=Pulp+Fiction+official+trailer,https://www.youtube.com/embed/VIDEO_ID
